Annual Subway Ridership,,,,,,,,,,,
Station (alphabetical by borough),*,Boro,2016,2017,2018,2019,2020,2021,2020-2021 Change,,2021 Rank
"138 St-Grand Concourse (4,5)",1,Bx,"1,070,024","1,036,746","944,598","1,035,878","371,408","656,866","285,458",76.90%,323
"149 St-Grand Concourse (2,4,5)",,Bx,"4,381,900","4,255,015","3,972,763","3,931,908","1,815,785","1,832,521","16,736",0.90%,125
"161 St-Yankee Stadium (B,D,4)",,Bx,"8,784,407","8,596,506","8,392,290","8,254,928","3,221,651","4,077,604","855,953",26.60%,33
167 St (4),,Bx,"3,179,087","2,954,228","2,933,140","2,653,237","1,396,287","1,615,072","218,785",15.70%,143
"167 St (B,D)",2,Bx,"3,365,748","3,293,451","2,022,919","2,734,530","1,422,149","1,508,270","86,121",6.10%,164
170 St (4),,Bx,"3,038,777","2,785,331","2,562,443","2,487,611","1,265,950","1,278,506","12,556",1.00%,188
"170 St (B,D)",,Bx,"2,317,558","2,270,027","2,454,974","2,130,461","1,002,095","1,104,637","102,542",10.20%,217
"174 St (2,5)",,Bx,"2,411,413","2,334,317","2,056,692","2,057,118","953,564","1,077,126","123,562",13.00%,223
"174-175 Sts (B,D)",3,Bx,"1,752,387","1,735,321","1,005,075","1,518,260","788,121","853,579","65,458",8.30%,272
176 St (4),,Bx,"2,036,529","1,943,854","1,803,691","1,713,696","876,865","939,585","62,720",7.20%,252
"182-183 Sts (B,D)",,Bx,"1,682,092","1,577,144","1,502,814","1,513,443","761,613","812,994","51,381",6.70%,283
183 St (4),,Bx,"2,071,316","2,001,410","1,831,457","1,779,224","951,634","1,051,456","99,822",10.50%,232
"219 St (2,5)",,Bx,"1,049,128","1,044,200","1,026,894","979,390","457,388","495,442","38,054",8.30%,361
"225 St (2,5)",,Bx,"1,365,544","1,323,910","1,224,369","1,187,486","549,296","605,491","56,195",10.20%,336
231 St (1),,Bx,"3,013,521","3,013,031","3,133,231","2,919,305","1,289,691","1,462,605","172,914",13.40%,168
"233 St (2,5)",,Bx,"1,688,487","1,565,455","1,496,673","1,445,532","721,495","796,596","75,101",10.40%,284
238 St (1),4,Bx,"1,327,862","1,335,877","960,970","1,204,095","588,199","678,017","89,818",15.30%,315
3 Av-138 St (6),,Bx,"2,509,085","2,515,479","2,451,972","2,503,850","1,271,192","1,359,371","88,179",6.90%,181
